"Fluorophore","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"PE-Cy7_DayAfter",-1.06903839111328,-8.11566925048828,-89.6697082519531,-141.055389404297,-179.06982421875,-313.6015625,-451.938110351562,-325.565795898438,-95.4500122070312,-26.2414855957031,10.0224609375,-5.23584747314453,26.5798492431641,838.464660644531,3638.19822692871,2651.74831390381,21.5218505859375,-1.71490478515625,20.3916320800781,27.4782104492188,30.743896484375,5.0589599609375,5.600830078125,306.9208984375,145.032165527344,123.638610839844,35.688720703125,12.2815704345703,97.0232849121094,1974.05868530273,11716.1331176758,6184.98310852051,160.220825195312,75.1727294921875,243.871887207031,1260.25280761719,713.953887939453,463.07177734375,211.668884277344,168.959747314453,192.968383789062,228.005096435547,1887.59461975098,19369.1575012207,44840.3502883911,41572.3415527344,35.5518760681152,28.0601196289062,43.721321105957,39.650691986084,349.486511230469,2421.30847549438,7542.85908508301,3705.54290390015
"BV421_DayAfter",-9.07115173339844,-30.8657836914062,1910.84594726562,1073.79418945312,1364.91662597656,941.921630859375,419.874267578125,69.95556640625,-1.546630859375,14.0885620117188,13.1058959960938,5.3897705078125,13.0026168823242,29.9623413085938,28.4748992919922,17.3206405639648,22919.7692260742,19752.258972168,20864.0524902344,7841.31536865234,3530.57971191406,2222.34143066406,1753.54174804688,747.152465820312,441.809448242188,407.528930664062,187.094421386719,117.185546875,118.111663818359,107.204559326172,114.078948974609,90.4632415771484,308.863159179688,352.185424804688,351.396728515625,168.809387207031,142.926116943359,108.353637695312,80.0467834472656,55.1971435546875,73.2532196044922,33.5515289306641,28.9591674804688,25.9161224365234,35.2892684936523,59.3158416748047,0,2.57151031494141,4.06857681274414,10.2691688537598,13.9383239746094,3.06457901000977,21.2256660461426,2.83739471435547
"BV480_DayAfter",10.5457305908203,57.3582153320312,213.500305175781,308.857177734375,639.589477539062,1879.29296875,3733.55102539062,2024.73303222656,1264.99230957031,450.902770996094,165.522583007812,76.8423461914062,56.6011123657227,80.6163177490234,53.9100189208984,37.7770462036133,95.0275573730469,356.051086425781,2147.8779296875,7919.20404052734,8870.48205566406,7355.13073730469,6950.84326171875,3553.58239746094,2135.16442871094,1882.46899414062,633.291687011719,289.340240478516,244.367767333984,205.654022216797,187.83935546875,110.650772094727,766.626220703125,741.629272460938,566.15869140625,257.595764160156,217.999725341797,183.823608398438,146.429779052734,70.4661560058594,101.212997436523,67.4551544189453,42.3879089355469,21.6712112426758,30.8050765991211,28.8502044677734,19.4585037231445,20.7639122009277,22.3452949523926,21.1338043212891,34.7151641845703,19.050479888916,23.2505493164062,2.44154739379883
"BV711_DayAfter",-29.3137130737305,-30.9918212890625,-92.6171569824219,-226.613464355469,-342.034606933594,-620.375732421875,-923.460388183594,-472.55078125,-282.406799316406,-67.5779418945312,79.8319244384766,1050.42669677734,2928.88066864014,2552.1389465332,2022.9881439209,1349.22341156006,1772.45855712891,1608.59222412109,1651.21423339844,668.352783203125,362.128173828125,270.872009277344,284.096557617188,193.172485351562,138.780395507812,152.528564453125,605.098205566406,6582.57870483398,18164.5650939941,11444.6278991699,9174.72149658203,4194.64326477051,159.778076171875,219.234497070312,278.227722167969,142.912933349609,99.860595703125,84.5965270996094,73.7877044677734,159.102783203125,780.991439819336,1116.36148071289,735.705184936523,552.171752929688,478.90958404541,506.025146484375,66.1059722900391,556.096111297607,2865.38902664185,5009.46070098877,3799.77215576172,2324.29370498657,2808.72981262207,1448.36553573608
"APC-Cy7_DayAfter",-18.1411437988281,-90.830680847168,-316.962371826172,-450.76042175293,-728.624847412109,-1168.31979370117,-1867.88806152344,-1048.7294921875,-654.695007324219,-163.563781738281,201.525970458984,74.5331726074219,130.793327331543,3399.68411254883,16819.4222259521,16137.8286361694,-40.7064514160156,-78.31298828125,-35.5444946289062,2.3076171875,47.7369384765625,55.4390869140625,174.39208984375,230.199951171875,160.341674804688,252.139892578125,908.575988769531,387.382781982422,639.282257080078,6734.41989135742,42301.7161254883,29252.4484405518,82.5992431640625,173.731811523438,308.559326171875,198.836120605469,171.134857177734,154.345306396484,225.116973876953,170.751907348633,159.468612670898,122.337677001953,244.047500610352,1803.03750610352,4600.73749542236,5228.43627929688,3466.91055297852,2566.70151901245,1911.57262039185,2005.65283966064,13338.340637207,92555.4877967834,323301.078567505,196895.602840424
"APC_DayAfter",-14.8597145080566,-33.2626342773438,-200.652099609375,-245.613372802734,-392.342437744141,-637.462036132812,-1000.72229003906,-522.865600585938,-308.783203125,-59.2952728271484,814.931365966797,245.504013061523,206.477439880371,261.313598632812,130.957321166992,90.5224227905273,4.12565612792969,-1.82205200195312,16.7451782226562,49.0476684570312,89.20458984375,68.5784912109375,118.71484375,119.190307617188,98.8905029296875,151.241271972656,2512.89068603516,737.814178466797,707.525665283203,612.172271728516,304.369995117188,160.15446472168,-112.874084472656,-125.977783203125,-85.0283813476562,-3.987060546875,16.8880004882812,44.3264617919922,350.802032470703,220.930740356445,153.703552246094,88.0094604492188,69.8080825805664,45.651123046875,18.710319519043,46.8366775512695,9189.19400024414,7180.94102096558,4691.42442703247,3617.87879180908,3840.56927490234,1976.16565322876,1587.87202453613,962.596523284912
"BV605_DayAfter",24.8522262573242,117.575164794922,281.140380859375,292.516357421875,481.072387695312,831.693115234375,1923.80102539062,1383.44201660156,1270.48474121094,579.710205078125,363.193756103516,247.389770507812,224.260185241699,325.836883544922,370.701217651367,353.506706237793,140.203857421875,331.114624023438,544.350219726562,564.873229980469,1212.10412597656,1367.14685058594,2350.88330078125,2474.07751464844,1948.04089355469,2480.13940429688,1750.25665283203,1196.84530639648,1385.81912231445,1432.9645690918,1527.70782470703,1031.34077453613,1697.71484375,2033.72546386719,2075.03088378906,1098.05145263672,905.700408935547,708.568054199219,582.213165283203,427.309066772461,469.966323852539,364.397613525391,264.82829284668,316.654724121094,305.69605255127,494.131958007812,46.7136001586914,86.9132347106934,150.924533843994,130.909873962402,143.463394165039,142.342304229736,183.850646972656,104.854183197021
"BUV615_DayAfter",71.313346862793,357.857299804688,276.303283691406,223.453979492188,164.192138671875,97.8096923828125,45.466552734375,56.34912109375,2168.21520996094,12268.0495605469,4651.67202758789,2437.86779785156,1377.3021774292,1299.3655090332,830.759323120117,456.684410095215,-13.0649108886719,-54.7337646484375,-93.3929443359375,-116.76416015625,-128.677856445312,-94.9986572265625,-82.70849609375,151.379760742188,1236.34265136719,3883.71362304688,1243.74896240234,625.836456298828,397.628997802734,228.266937255859,165.159423828125,57.1160736083984,148.015014648438,155.937622070312,124.342895507812,100.639221191406,376.873321533203,750.287780761719,394.651763916016,295.768753051758,272.66471862793,117.180770874023,72.1720581054688,54.2161560058594,23.2320327758789,36.8522796630859,46.2472610473633,62.9992408752441,55.9908638000488,19.8083267211914,5.12823486328125,-7.9257698059082,9.01300811767578,-9.0408821105957
"BV785_DayAfter",12.7582931518555,15.8114624023438,59.0249633789062,23.2782592773438,37.3472900390625,-12.6505126953125,9.293212890625,12.914306640625,55.151123046875,25.5443725585938,31.8403015136719,19.6344451904297,101.727638244629,2113.65286254883,7343.06089782715,5901.28615570068,2635.61761474609,2443.34490966797,2604.85473632812,1134.15203857422,737.792846679688,550.526245117188,600.787841796875,447.807495117188,314.999389648438,352.324462890625,230.873718261719,183.978302001953,774.307647705078,10225.1742858887,44919.8801879883,26016.4250030518,113.279418945312,116.716918945312,168.04345703125,113.856567382812,107.269500732422,94.37451171875,93.1375122070312,75.842041015625,81.7689056396484,50.7855529785156,103.830978393555,520.707611083984,1021.04584503174,1097.72106933594,73.1035614013672,114.234310150146,125.86714553833,139.058311462402,419.673004150391,1706.70203018188,4312.87300109863,2449.92827987671
"BUV737_DayAfter",46.8295974731445,181.49365234375,181.985900878906,174.661743164062,196.171752929688,169.85595703125,86.63232421875,-63.03759765625,-92.433349609375,-35.8406066894531,0.540191650390625,216.976837158203,2958.51982879639,6708.02346801758,3532.60118103027,2907.11696624756,-2.2005615234375,-46.9447631835938,-75.266357421875,-53.8370971679688,-99.96435546875,-133.99560546875,-222.20751953125,-276.5810546875,-226.126098632812,-280.528442382812,-180.930938720703,-70.5927734375,514.766082763672,1047.50912475586,548.669860839844,294.609146118164,-186.734069824219,-248.323364257812,-265.147216796875,-128.654235839844,-104.185729980469,-80.3957824707031,-62.6627807617188,-37.3468475341797,68.5050506591797,555.744293212891,1252.86982727051,965.899444580078,589.116157531738,745.41943359375,-1.73320388793945,29.3141975402832,214.987598419189,1127.37671661377,3031.86187744141,1921.78015518188,1642.4400177002,1037.72369003296
